"Name";"Color";"Rarity";"# Seen";"ALSA";"# Picked";"ATA";"# GP";"% GP";"GP WR"
"The One Ring";"";"M";"4818";"1.40";"2823";"1.38";"14588";"86.0%";"53.9%"
"Palantír of Orthanc";"";"M";"4495";"1.31";"3799";"1.29";"23431";"97.9%";"58.1%"
"Phial of Galadriel";"";"R";"14980";"2.15";"6099";"2.25";"32877";"89.3%";"54.4%"
"Shire Scarecrow";"";"C";"377774";"8.35";"44055";"11.90";"30690";"11.5%";"49.6%"
"Sting, the Glinting Dagger";"";"R";"23359";"3.32";"3142";"4.45";"8779";"47.8%";"50.6%"
"Stone of Erech";"";"U";"140629";"8.01";"15200";"11.90";"1042";"1.1%";"48.6%"
"Wizard's Rockets";"";"C";"369046";"7.37";"55944";"10.40";"92546";"27.2%";"53.0%"
"Barad-dûr";"";"R";"21071";"2.81";"5732";"3.38";"29958";"85.9%";"55.9%"
"Great Hall of the Citadel";"";"C";"324558";"5.90";"57011";"8.01";"187450";"54.3%";"53.1%"
"The Grey Havens";"";"U";"132052";"6.74";"12932";"10.52";"13198";"16.9%";"50.5%"
"Minas Tirith";"";"R";"24532";"3.21";"5421";"4.03";"24958";"76.7%";"54.1%"
"Mines of Moria";"";"R";"37937";"4.60";"5763";"6.79";"19922";"56.9%";"54.9%"
"Mount Doom";"";"M";"13723";"3.55";"2304";"4.82";"6628";"47.0%";"55.0%"
"Rivendell";"";"R";"29257";"3.70";"5830";"4.89";"25563";"73.7%";"53.4%"
"The Shire";"";"R";"28906";"3.78";"4922";"5.13";"18716";"63.9%";"53.0%"
"Shire Terrace";"";"C";"340733";"5.95";"44098";"8.78";"147940";"56.1%";"52.6%"
